CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment
6087,California,Santa Cruz,269278,133714,135564,32.9,58.3,0.9,0.2,4.2,0.1,185139,67256.0,1534.0,33241,520,15.1,17.1,131321,7.6
6089,California,Shasta,178942,87851,91091,9.2,81.2,1.0,2.2,2.6,0.2,135991,44620.0,1209.0,24107,471,18.0,23.5,69261,10.3
6091,California,Sierra,3021,1505,1516,8.9,88.0,0.1,0.9,0.0,0.5,2493,42833.0,8464.0,29986,5447,14.6,22.7,1110,8.0
6093,California,Siskiyou,43895,21825,22070,11.5,78.0,1.4,2.7,1.6,0.3,33830,37170.0,1702.0,22561,842,23.1,30.5,16127,12.7
6095,California,Solano,425753,211881,213872,25.3,39.8,13.5,0.3,14.6,0.8,290741,66828.0,1238.0,29185,475,13.4,19.0,187021,11.4
6097,California,Sonoma,495078,242817,252261,25.8,64.7,1.4,0.5,3.8,0.3,347287,64240.0,1224.0,34235,584,11.7,14.6,240247,8.1
6099,California,Stanislaus,527367,261045,266322,43.6,44.7,2.4,0.5,5.2,0.7,323587,50125.0,718.0,21922,389,20.3,28.2,208428,15.2
6101,California,Sutter,95247,47349,47898,29.7,48.4,1.9,0.7,14.6,0.3,59874,52017.0,1350.0,23689,608,17.8,24.3,37520,13.2
6103,California,Tehama,63152,31489,31663,23.5,70.1,0.5,1.8,1.3,0.2,45284,41001.0,2564.0,21263,768,19.8,27.6,23127,13.2
6105,California,Trinity,13373,6878,6495,7.1,83.0,1.1,3.4,1.2,0.8,10562,34974.0,4081.0,22975,1710,19.5,23.8,4832,9.0
6107,California,Tulare,454033,227426,226607,62.4,30.7,1.3,0.7,3.2,0.1,243032,42031.0,920.0,17876,353,28.1,37.9,170780,12.0
6109,California,Tuolumne,54079,28218,25861,11.4,81.4,1.8,1.5,1.4,0.1,43923,50306.0,2202.0,27054,1069,13.9,15.9,19477,12.9
6111,California,Ventura,840833,416484,424349,41.6,47.0,1.6,0.3,6.9,0.1,537621,77348.0,954.0,33435,416,11.1,16.1,398116,8.6
6113,California,Yolo,207320,100937,106383,31.1,48.3,2.3,0.5,13.5,0.5,139127,54989.0,1553.0,28116,610,19.9,18.7,92806,9.0
6115,California,Yuba,73437,37300,36137,26.7,56.8,3.2,1.0,7.1,0.3,48153,46892.0,1931.0,20471,921,21.9,30.2,25499,14.8
